0.22243309020996094 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.2223823070526123 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22255873680114746 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.2234508991241455 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.2217543125152588 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22150897979736328 : [0.0, 0.0] : [0.0, 0.0] : [0.005235987755982988, -0.014959965017094254]
0.22419095039367676 : [0.0, 0.0] : [0.0, 0.0] : [0.010471975511965976, -0.029919930034188507]
0.22322463989257812 : [0.0, 0.0] : [0.0, 0.0] : [0.005235987755982988, -0.04487989505128276]
0.22206616401672363 : [0.0, 0.0] : [0.0, 0.0] : [0.005235987755982991, -0.07479982508547127]
0.22256207466125488 : [0.0010471975511965978, -0.0029919930034188512] : [0.2, 0.0] : [0.010471975511965976, -0.08975979010256552]
0.22182774543762207 : [0.0010471975511965978, -0.0029919930034188512] : [0.2, 0.0] : [0.010471975511965976, -0.08975979010256552]
0.22275876998901367 : [0.0036651914291880926, -0.022439947525641383] : [1.1, -0.4] : [0.010471975511965976, -0.08975979010256552]
0.22304296493530273 : [0.0036651914291880926, -0.022439947525641383] : [1.1, -0.4] : [0.010471975511965976, -0.08975979010256552]
0.2225360870361328 : [0.0031415926535897937, -0.07180783208205244] : [2.7, -2.1] : [0.0, -0.08975979010256553]
0.22326231002807617 : [0.0031415926535897937, -0.07180783208205244] : [2.7, -2.1] : [0.0, -0.08975979010256553]
0.22417354583740234 : [0.012042771838760876, -0.10322375861795037] : [4.6000000000000005, -2.3000000000000003] : [0.0, -0.08975979010256553]
0.22336268424987793 : [0.012042771838760876, -0.10322375861795037] : [4.6000000000000005, -2.3000000000000003] : [0.0, -0.08975979010256553]
0.22390532493591309 : [0.0010471975511965985, -0.08078381109230898] : [2.8000000000000003, -2.6] : [0.0, -0.08975979010256553]
0.2212982177734375 : [0.0010471975511965985, -0.08078381109230898] : [2.8000000000000003, -2.6] : [0.0, -0.08975979010256553]
0.22219085693359375 : [0.000523598775598301, -0.0942477796076938] : [3.2, -3.1] : [0.0, -0.08975979010256553]
0.2221837043762207 : [0.000523598775598301, -0.0942477796076938] : [3.2, -3.1] : [0.04188790204786391, -0.08975979010256553]
0.22221946716308594 : [0.0010471975511965968, -0.08975979010256553] : [3.1, -2.9000000000000004] : [0.0890117918517108, -0.10471975511965981]
0.22193217277526855 : [0.0010471975511965968, -0.08975979010256553] : [3.1, -2.9000000000000004] : [0.07330382858376183, -0.08975979010256553]
0.22258710861206055 : [0.0005235987755982975, -0.07330382858376185] : [2.5, -2.4000000000000004] : [0.05759586531581287, -0.10471975511965977]
0.2218647003173828 : [0.0005235987755982975, -0.07330382858376185] : [2.5, -2.4000000000000004] : [0.047123889803846894, -0.10471975511965977]
0.2221357822418213 : [0.015184364492350668, -0.11219973762820692] : [5.2, -2.3000000000000003] : [0.03665191429188092, -0.10471975511965978]
0.22193622589111328 : [0.015184364492350668, -0.11219973762820692] : [5.2, -2.3000000000000003] : [0.031415926535897934, -0.08975979010256553]
0.22223114967346191 : [0.01832595714594046, -0.08826379360085611] : [4.7, -1.2000000000000002] : [0.031415926535897934, -0.08975979010256553]
0.2252349853515625 : [0.01832595714594046, -0.08826379360085611] : [4.7, -1.2000000000000002] : [0.020943951023931952, -0.08975979010256552]
0.22233867645263672 : [0.025656340004316644, -0.08527180059743726] : [5.300000000000001, -0.4] : [0.06806784082777885, -0.10471975511965977]
0.22189068794250488 : [0.025656340004316644, -0.08527180059743726] : [5.300000000000001, -0.4] : [0.12042771838760874, -0.10471975511965978]
0.22126531600952148 : [0.027227136331111543, -0.08975979010256553] : [5.6000000000000005, -0.4] : [0.09948376736367678, -0.10471975511965977]
0.22173547744750977 : [0.027227136331111543, -0.08975979010256553] : [5.6000000000000005, -0.4] : [0.0890117918517108, -0.10471975511965981]
0.22314190864562988 : [0.03403392041388943, -0.0942477796076938] : [6.4, 0.1] : [0.07853981633974483, -0.10471975511965977]
0.2223811149597168 : [0.03403392041388943, -0.0942477796076938] : [6.4, 0.1] : [0.06806784082777885, -0.10471975511965977]
0.2219386100769043 : [0.039793506945470715, -0.11369573412991633] : [7.6000000000000005, 0.0] : [0.05759586531581287, -0.10471975511965977]
0.22203969955444336 : [0.039793506945470715, -0.11369573412991633] : [7.6000000000000005, 0.0] : [0.05235987755982988, -0.08975979010256552]
0.22365641593933105 : [0.0466002910282486, -0.10920774462478804] : [8.1, 0.8] : [0.09948376736367678, -0.10471975511965977]
0.22363495826721191 : [0.0466002910282486, -0.10920774462478804] : [8.1, 0.8] : [0.1308996938995747, -0.10471975511965977]
0.22279691696166992 : [0.048694686130641804, -0.0942477796076938] : [7.800000000000001, 1.5] : [0.10471975511965978, -0.08975979010256552]
0.2241196632385254 : [0.048694686130641804, -0.0942477796076938] : [7.800000000000001, 1.5] : [0.0942477796076938, -0.08975979010256553]
